directory	srr_id	in_sample_list	in_sra_dir
Controls/Pancreas	SRR25143514	1	0
Controls/Pancreas	SRR25143515	1	0
Controls/Pancreas	SRR25143516	1	0
Controls/Pancreas	SRR25143517	1	0
Controls/Pancreas	SRR25143518	1	0
Controls/Pancreas	SRR25143519	1	0
Controls/Pancreas	SRR25143520	1	0
Controls/Pancreas	SRR25143521	1	0
Controls/Pancreas	SRR25143522	1	0
Controls/Pancreas	SRR25143523	1	0
Controls/Pancreas	SRR25143524	1	0
Controls/Pancreas	SRR25143525	1	0
Controls/Pancreas	SRR25143526	1	0
Controls/Pancreas	SRR25143527	1	0
Controls/Pancreas	SRR25716763	1	0
Controls/Pancreas	SRR25716765	1	0
Controls/Pancreas	SRR25716767	1	0
Controls/Pancreas	SRR7768602	1	0
Controls/Pancreas	SRR7768603	1	0
Controls/Pancreas	SRR7768604	1	0
Controls/Pancreas	SRR7768605	1	0
Controls/Pancreas	SRR7768606	1	0
Controls/Pancreas	SRR7768607	1	0
Controls/Pancreas	SRR7818895	1	0
Controls/Pancreas	SRR7818896	1	0
Controls/Pancreas	SRR7818897	1	0
Controls/Pancreas	SRR7818898	1	0
Controls/Pancreas	SRR7818899	1	0
Controls/Pancreas	SRR7818900	1	0
Controls/Pancreas	SRR7818901	1	0
Controls/Pancreas	SRR7818902	1	0
Controls/Pancreas	SRR7818903	1	0
Controls/Pancreas	SRR7818904	1	0
Controls/RenalPelvis	Run	1	0
Controls/RenalPelvis	SRR11196339	1	1
Controls/RenalPelvis	SRR11196341	1	1
Controls/RenalPelvis	SRR11196345	1	1
Controls/RenalPelvis	SRR11196346	1	1
Controls/Salivary	ERR315325	1	0
Controls/Salivary	ERR315382	1	0
Controls/Salivary	ERR315418	1	0
Controls/Salivary	ERR315420	1	0
Controls/Salivary	ERR315449	1	0
Controls/Salivary	ERR315459	1	0
Controls/Salivary	SRR10246417	1	1
Controls/Salivary	SRR10246418	1	1
Controls/Salivary	SRR15100666	1	1
Controls/Salivary	SRR15100668	1	1
Controls/Salivary	SRR15100670	1	1
Controls/Salivary	SRR15100672	1	1
Controls/Salivary	SRR15100674	1	1
Controls/Salivary	SRR15132668	1	1
Controls/Salivary	SRR15132670	1	1
Controls/Salivary	SRR15132672	1	1
Controls/Salivary	SRR15132674	1	1
Controls/Salivary	SRR15132676	1	1
Controls/Salivary	SRR15207440	1	1
Controls/Salivary	SRR15207441	1	1
Controls/Salivary	SRR15207442	1	1
Controls/Salivary	SRR15207443	1	1
Controls/Salivary	SRR15207444	1	1
Controls/Salivary	SRR15207445	1	1
Controls/Salivary	SRR15207446	1	1
Controls/Salivary	SRR15207447	1	1
Controls/Salivary	SRR15207448	1	1
Controls/Salivary	SRR15207449	1	1
Controls/Salivary	SRR15207450	1	1
Controls/Salivary	SRR15207451	1	1
Controls/Salivary	SRR15207452	1	1
Controls/Salivary	SRR15207453	1	1
Controls/Salivary	SRR15207454	1	1
Controls/Salivary	SRR15207455	1	1
Controls/Salivary	SRR26033659	1	1
Controls/Salivary	SRR26033660	1	1
Controls/Salivary	SRR26033661	1	1
Controls/Salivary	SRR26033662	1	1
Controls/Salivary	SRR26033663	1	1
Controls/Salivary	SRR26033664	1	1
Controls/Salivary	SRR26033665	1	1
Controls/Salivary	SRR26033666	1	1
Controls/Salivary	SRR26033667	1	1
Controls/Salivary	SRR26033668	1	1
Controls/Salivary	SRR26033670	1	1
Controls/Salivary	SRR26033671	1	1
Controls/Salivary	SRR26033672	1	1
Controls/Salivary	SRR26033673	1	1
Controls/Salivary	SRR26033674	1	1
Controls/Salivary	SRR26033675	1	1
Controls/Salivary	SRR26033676	1	1
Controls/Salivary	SRR26033677	1	0
Controls/Salivary	SRR26033678	1	1
Controls/Salivary	SRR26033679	1	1
Controls/Salivary	SRR31414539	1	1
Controls/Salivary	SRR31414540	1	1
Controls/Salivary	SRR31414541	1	1
Controls/Salivary	SRR31414542	1	1
Controls/Salivary	SRR31414543	1	1
Controls/Salivary	SRR31414544	1	1
Controls/Tongue	SRR10502316	1	1
Controls/Tongue	SRR10502317	1	1
Controls/Tongue	SRR16013047	1	1
Controls/Tongue	SRR16013049	1	1
Controls/Tongue	SRR16013055	1	1
Controls/Tongue	SRR16013057	1	1
Controls/Tongue	SRR16013058	1	1
Controls/Tongue	SRR16013062	1	1
Controls/Tongue	SRR16013063	1	1
Controls/Tongue	SRR16013066	1	1
Controls/Tongue	SRR16013068	1	1
Controls/Tongue	SRR16013069	1	1
Controls/Tongue	SRR16013075	1	1
Controls/Tongue	SRR16013076	1	1
Controls/Tongue	SRR16013077	1	1
Controls/Tongue	SRR16013081	1	1
Controls/Tongue	SRR16013085	1	1
Controls/Tongue	SRR16013086	1	1
Controls/Tongue	SRR16013087	1	1
Controls/Tongue	SRR16013089	1	1
Premalignant/Esophagus	ERR1141671	1	0
Premalignant/Esophagus	ERR1141672	1	0
Premalignant/Esophagus	ERR1141673	1	0
Premalignant/Esophagus	ERR1141674	1	0
Premalignant/Esophagus	ERR1141675	1	0
Premalignant/Esophagus	ERR1141676	1	0
Premalignant/Esophagus	ERR1141677	1	0
