srr_id,in_sample_list,in_Pancreas_SRA,in_Pancreas_SRA2,in_any_reference
SRR27481290,1,1,0,1
SRR27481291,1,1,0,1
SRR27481292,1,1,0,1
SRR27481293,1,1,1,1
SRR27481294,1,1,0,1
SRR27481295,1,1,0,1
SRR27481296,1,1,1,1
SRR27481297,1,1,0,1
SRR27481298,1,1,0,1
SRR27481299,1,1,0,1
SRR27481300,1,1,0,1
SRR27481301,1,1,0,1
SRR27481302,1,1,0,1
SRR28428334,1,1,0,1
SRR28428335,1,1,0,1
SRR28428336,1,1,0,1
SRR28428337,1,1,0,1
SRR28428338,1,1,0,1
SRR28428339,1,1,0,1
SRR28428340,1,1,0,1
SRR28428341,1,1,0,1
SRR30045786,1,1,0,1
SRR30045787,1,1,0,1
SRR30045788,1,1,0,1
SRR30045789,1,1,0,1
SRR30045790,1,1,0,1
SRR30045791,1,1,0,1
SRR30045792,1,1,0,1
SRR30045793,1,1,0,1
SRR30045794,1,1,0,1
SRR30045795,1,1,0,1
SRR30063255,0,0,1,1
SRR30063256,0,0,1,1
SRR30063493,0,0,1,1
SRR30063548,0,0,1,1
SRR30063549,0,0,1,1
SRR30063550,0,0,1,1
SRR30063551,0,0,1,1
SRR30063552,0,0,1,1
SRR30063553,0,0,1,1
SRR30063554,0,0,1,1
SRR30063555,0,0,1,1
SRR30063556,0,0,1,1
SRR30063557,0,0,1,1
SRR30063558,0,0,1,1
SRR30063559,0,0,1,1
SRR30063560,0,0,1,1
SRR30063561,0,0,1,1
SRR30063562,0,0,1,1
SRR30063563,0,0,1,1
SRR30063564,0,0,1,1
SRR30063565,0,0,1,1
SRR30063566,0,0,1,1
SRR30063567,0,0,1,1
SRR30063568,0,0,1,1
SRR30063569,0,0,1,1
SRR30063584,0,0,1,1
SRR30063585,0,0,1,1
SRR30063586,0,0,1,1
SRR30063587,0,0,1,1
SRR30063588,0,0,1,1
SRR30063589,0,0,1,1
SRR30063590,0,0,1,1
SRR30063591,0,0,1,1
SRR30063592,0,0,1,1
SRR30063593,0,0,1,1
SRR30063594,0,0,1,1
SRR30063595,0,0,1,1
SRR30063596,0,0,1,1
SRR30063597,0,0,1,1
SRR30063598,0,0,1,1
SRR30063783,0,0,1,1
SRR30063784,0,0,1,1
SRR30063785,0,0,1,1
SRR30063789,0,0,1,1
SRR30063790,0,0,1,1
SRR30063791,0,0,1,1
SRR30063792,0,0,1,1
SRR30063793,0,0,1,1
SRR30063794,0,0,1,1
SRR30063795,0,0,1,1
SRR30063796,0,0,1,1
SRR30063797,0,0,1,1
SRR30063798,0,0,1,1
SRR30063799,0,0,1,1
SRR30063800,0,0,1,1
SRR30063801,0,0,1,1
SRR30063802,0,0,1,1
SRR30063803,0,0,1,1
SRR30063804,0,0,1,1
SRR30063805,0,0,1,1
SRR30063806,0,0,1,1
SRR30063807,0,0,1,1
SRR30063808,0,0,1,1
SRR30063809,0,0,1,1
SRR30063810,0,0,1,1
SRR30063811,0,0,1,1
SRR30063812,0,0,1,1
SRR30063813,0,0,1,1
SRR30063814,0,0,1,1
SRR30063815,0,0,1,1
SRR30063816,0,0,1,1
SRR30063817,0,0,1,1
